"status","url","link text","redir","On page"
"200 no error","https://www.jwst.nasa.gov/index.html","JAMES WEBB SPACE TELESCOPE","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/index.html","James Webb			Space Telescope","","https://www.jwst.nasa.gov/"
"200 no error < 302 found","https://www.jwst.nasa.gov/team.html","PARTNERS:  Agency, Industry and Academic","https://www.jwst.nasa.gov/content/meetTheTeam/team.html","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/webbLaunch/needToKnow.html","About","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/webbLaunch/news.html","News","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/webbLaunch/deploymentExplorer.html","Explore Webb's Deployments","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/webbLaunch/whereIsWebb.html","Where Is Webb?","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/webbLaunch/needToKnow.html","Need to Know","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/news/index.html","News All","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/news/index.html","Twitter Feed","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/about/index.html","About Overview","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/about/faqs/facts.html","Key Facts","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/about/faqs/whoIsJamesWebb.html","Who Is James Webb?","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/about/faqs/faqLite.html","FAQ Lite","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/about/faqs/faq.html","FAQ Full","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/about/launch.html","Launch","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/about/orbit.html","Orbit","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/about/comparisonWebbVsHubble.html","Webb and Hubble","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/about/innovations/index.html","Innovations Overview","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/about/innovations/microshutters.html","Microshutters","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/observatory/ote/backplane.html","Backplane","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/observatory/ote/mirrors/index.html","Mirrors","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/about/innovations/wavefront.html","Wavefront Sensing","","https://www.jwst.nasa.gov/"
"200 no error","https://www.jwst.nasa.gov/content/about/innovations/infrared.html","Infrared Detectors","","https://www.jwst.nasa.gov/"
