"status","url","link text","redir","On page"
"200 no error","https://www.travel.dod.mil/","[form action]","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/","","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/About/","About","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/About/Leadership/","Leadership","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/About/Governance/","Governance","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/About/News/","News","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/About/News/Dispatch-Newsletter/","Dispatch Newsletter","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/About/News/RSS/","RSS","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/About/Contact-Us/","Contact Us","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/","Programs","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Government-Travel-Charge-Card/","Government Travel Charge Card","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Government-Travel-Charge-Card/Program-Management/","Program Management","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Government-Travel-Charge-Card/Cardholders/","Cardholders","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Government-Travel-Charge-Card/Centrally-Billed-Accounts/","Centrally Billed Accounts","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/DoD-Travel-Systems/","DoD Travel Systems","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/DoD-Travel-Systems/MyTravel/","MyTravel","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/DoD-Travel-Systems/Defense-Travel-System/","Defense Travel System","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/DoD-Travel-Systems/Defense-Travel-System/Change-Management/","Change Management","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/DoD-Travel-Systems/Constructed-Travel/","Constructed Travel","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Travel-Management-Company-Services/","Travel Management Company Services","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Travel-Management-Company-Services/Quality-Assurance-Evaluators/","Quality Assurance Evaluators","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Commercial-Air/","Commercial Air","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Commercial-Air/Airfare-Types/","Airfare Types","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Commercial-Air/TSA-PreCheck/","TSA PreCheck","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Rail/","Rail","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Rental-Car/","Rental Car","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Rental-Truck/","Rental Truck","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/DoD-Bus/","DoD Bus","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/DoD-Bus/Arrange-a-Move/","Arrange a Move","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/DoD-Bus/Carriers/","Carriers","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/DoD-Bus/Carriers/Become-a-Participating-Carrier/","Become a Participating Carrier","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/DoD-Bus/GOPAX-Access/","GOPAX Access","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/DoD-Dine-Smart/","DoD Dine Smart","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Lodging/","Lodging","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Lodging/Integrated-Lodging-Program-Sites/","Integrated Lodging Program Sites","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Lodging/DoD-Lodging/","DoD Lodging","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Lodging/Public-Private-Venture-Lodging/","Public-Private Venture Lodging","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Programs/Lodging/DoD-Preferred-Commercial-Lodging/","DoD Preferred Commercial Lodging","","https://www.travel.dod.mil/"
